[2013-03-02 11:22:33] START
[2013-05-31 09:08:32] EDIT heritage/languages/es.py: 0
[2013-06-01 00:06:04] EDIT heritage/models/db.py: 4
[2013-06-01 00:06:46] EDIT heritage/models/db.py: 0
[2013-06-01 00:10:02] EDIT heritage/models/db.py: 1
[2013-06-01 00:17:20] EDIT heritage/models/db.py: 1
[2013-06-01 00:24:32] EDIT heritage/models/db.py: 2
[2013-06-01 00:39:14] EDIT heritage/controllers/default.py: 1
[2013-06-01 00:39:51] EDIT heritage/controllers/default.py: 0
[2013-06-01 00:41:42] EDIT heritage/views/default/staff.html: 3
[2013-06-01 00:44:57] EDIT heritage/controllers/default.py: 0
[2013-06-01 00:46:01] EDIT heritage/views/default/staff.html: 2
[2013-06-01 00:46:28] EDIT heritage/views/default/staff.html: 0
[2013-06-01 00:46:43] EDIT heritage/views/default/staff.html: 0
[2013-06-01 00:46:55] EDIT heritage/views/default/staff.html: 0
[2013-06-01 00:47:15] EDIT heritage/views/default/staff.html: 0
[2013-06-01 00:49:00] EDIT heritage/controllers/default.py: 0
[2013-06-01 00:49:20] EDIT heritage/views/default/staff.html: 0
[2013-06-01 00:49:41] EDIT heritage/controllers/default.py: 0
[2013-06-01 00:49:51] EDIT heritage/controllers/default.py: 0
[2013-06-01 00:57:57] EDIT heritage/controllers/default.py: 7
[2013-06-01 00:58:18] EDIT heritage/controllers/default.py: 0
[2013-06-01 00:59:09] EDIT heritage/controllers/default.py: 0
[2013-06-01 00:59:48] EDIT heritage/views/default/staff.html: -4
[2013-06-01 01:02:05] EDIT heritage/controllers/default.py: 0
[2013-06-01 01:03:48] EDIT heritage/controllers/default.py: 0
[2013-06-01 01:04:10] EDIT heritage/controllers/default.py: 0
[2013-06-01 01:04:46] EDIT heritage/controllers/default.py: 0
[2013-06-01 01:05:59] EDIT heritage/controllers/default.py: 0
[2013-06-01 01:07:44] EDIT heritage/controllers/default.py: 0
[2013-06-02 09:00:29] EDIT heritage/controllers/default.py: -7
[2013-06-02 09:00:32] EDIT heritage/views/default/staff.html: 8
[2013-06-02 09:10:57] EDIT heritage/views/default/staff.html: 0
[2013-06-02 09:12:28] EDIT heritage/views/default/staff.html: 0
[2013-06-02 09:13:01] EDIT heritage/views/default/staff.html: 0
[2013-06-02 09:13:29] EDIT heritage/views/default/staff.html: 0
[2013-06-02 09:14:08] EDIT heritage/views/default/staff.html: 0
[2013-06-02 09:14:16] EDIT heritage/views/default/staff.html: 0
[2013-06-02 09:14:29] EDIT heritage/views/default/staff.html: 0
[2014-10-17 11:01:12] EDIT heritage/models/db.py: -2
[2014-10-17 11:02:42] EDIT heritage/models/db.py: 0
[2014-10-17 11:03:08] EDIT heritage/models/db.py: 0
[2014-10-17 11:03:51] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:04:20] EDIT heritage/models/db.py: 0
[2014-10-17 11:04:34] EDIT heritage/models/db.py: 0
[2014-10-17 11:05:32] EDIT heritage/models/db.py: 0
[2014-10-17 11:07:44] EDIT heritage/models/db.py: -1
[2014-10-17 11:07:56] EDIT heritage/models/db.py: -5
[2014-10-17 11:08:10] CREATE db1.py: 0
[2014-10-17 11:08:27] EDIT heritage/models/db1.py: 5
[2014-10-17 11:32:57] EDIT heritage/models/menu.py: 1
[2014-10-17 11:36:37] EDIT heritage/models/db1.py: 5
[2014-10-17 11:37:06] EDIT heritage/models/db1.py: 1
[2014-10-17 11:37:13] EDIT heritage/models/db1.py: 0
[2014-10-17 11:38:15] EDIT heritage/models/db1.py: 0
[2014-10-17 11:38:36] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:43:54] EDIT heritage/models/db1.py: 4
[2014-10-17 11:44:25] EDIT heritage/views/default/index.html: -5
[2014-10-17 11:47:42] EDIT heritage/controllers/default.py: 1
[2014-10-17 11:47:48] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:48:02] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:48:27] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:50:53] EDIT heritage/views/default/index.html: -2
[2014-10-17 11:50:58] EDIT heritage/views/default/index.html: 0
[2014-10-17 11:52:05] EDIT heritage/controllers/default.py: 1
[2014-10-17 11:52:13] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:52:52] EDIT heritage/views/default/index.html: 1
[2014-10-17 11:53:35] EDIT heritage/models/db1.py: 0
[2014-10-17 11:54:22] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:54:43] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:56:26] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:56:32] EDIT heritage/controllers/default.py: 0
[2014-10-17 11:57:36] EDIT heritage/models/db1.py: 1
[2014-10-17 11:57:45] EDIT heritage/models/db1.py: 0
[2014-10-17 11:59:09] EDIT heritage/models/db1.py: 0
[2014-10-17 12:04:17] EDIT heritage/models/db1.py: 0
[2014-10-17 12:05:16] EDIT heritage/models/db1.py: -1
[2014-10-17 12:05:53] EDIT heritage/controllers/default.py: 0
[2014-10-17 12:08:15] EDIT heritage/controllers/default.py: 0
[2014-10-17 12:08:24] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:08:46] EDIT heritage/controllers/default.py: 0
[2014-10-17 12:09:15] EDIT heritage/controllers/default.py: 0
[2014-10-17 12:11:32] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:12:13] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:14:16] EDIT heritage/controllers/default.py: -1
[2014-10-17 12:17:38] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:19:24] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:31:51] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:33:04] EDIT heritage/models/db1.py: 1
[2014-10-17 12:33:22] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:33:55] EDIT heritage/views/default/index.html: 2
[2014-10-17 12:35:58] EDIT heritage/models/db1.py: 1
[2014-10-17 12:36:34] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:37:28] EDIT heritage/models/db1.py: 1
[2014-10-17 12:37:50] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:38:06] EDIT heritage/models/db1.py: 0
[2014-10-17 12:39:17] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:39:59] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:40:58] EDIT heritage/models/db1.py: 0
[2014-10-17 12:41:05] EDIT heritage/models/db1.py: 0
[2014-10-17 12:42:31] EDIT heritage/models/db1.py: 2
[2014-10-17 12:42:37] EDIT heritage/models/db1.py: 0
[2014-10-17 12:48:09] EDIT heritage/models/db1.py: 0
[2014-10-17 12:48:15] EDIT heritage/models/db1.py: 0
[2014-10-17 12:49:46] EDIT heritage/models/db1.py: 1
[2014-10-17 12:49:55] EDIT heritage/models/db1.py: 0
[2014-10-17 12:51:55] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:52:27] EDIT heritage/controllers/default.py: 0
